Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2161541,"Abacavir metabolism",1,5,4.449586188484471E-4,0.2872958387631661,0.37762136249992695,1,5,3.7787182587666263E-4,9606,Homo sapiens,"P35558","P35558","R-HSA-2162096"
R-HSA-9018896,"Biosynthesis of E-series 18(S)-resolvins",1,5,4.449586188484471E-4,0.2872958387631661,0.37762136249992695,1,6,4.5344619105199517E-4,9606,Homo sapiens,"P09960","P09960","R-HSA-9018862"
R-HSA-9614085,"FOXO-mediated transcription",6,66,0.005873453768799501,0.2916352957470296,0.37762136249992695,8,85,0.006423821039903264,9606,Homo sapiens,"Q92769;P01308;Q13547;P04150;P35558;P35557","Q92769;P01308;Q13547;P04150;P35558;P35557","R-HSA-9625699;R-HSA-9623168;R-HSA-9623280;R-HSA-9623281;R-HSA-9623415;R-HSA-9625124;R-HSA-9625101;R-HSA-9625693"
R-HSA-5637812,"Signaling by EGFRvIII in Cancer",2,16,0.0014238675803150307,0.29496977208687203,0.37762136249992695,17,18,0.0013603385731559856,9606,Homo sapiens,"P00533;P27986","P00533;P27986","R-HSA-5637808;R-HSA-1247999;R-HSA-5638137;R-HSA-5637798;R-HSA-5637766;R-HSA-1248002;R-HSA-5637764;R-HSA-5637796;R-HSA-5637765;R-HSA-5637794;R-HSA-5637795;R-HSA-5637792;R-HSA-5637806;R-HSA-1248655;R-HSA-5637770;R-HSA-5637800;R-HSA-5637801"
R-HSA-5637810,"Constitutive Signaling by EGFRvIII",2,16,0.0014238675803150307,0.29496977208687203,0.37762136249992695,17,18,0.0013603385731559856,9606,Homo sapiens,"P00533;P27986","P00533;P27986","R-HSA-5637808;R-HSA-1247999;R-HSA-5638137;R-HSA-5637798;R-HSA-5637766;R-HSA-1248002;R-HSA-5637764;R-HSA-5637796;R-HSA-5637765;R-HSA-5637794;R-HSA-5637795;R-HSA-5637792;R-HSA-5637806;R-HSA-1248655;R-HSA-5637770;R-HSA-5637800;R-HSA-5637801"
R-HSA-5684264,"MAP3K8 (TPL2)-dependent MAPK1/3 activation",2,16,0.0014238675803150307,0.29496977208687203,0.37762136249992695,7,8,6.045949214026602E-4,9606,Homo sapiens,"P19838;O14920","P19838;O14920","R-HSA-5684261;R-HSA-451634;R-HSA-5684275;R-HSA-5684273;R-HSA-5684250;R-HSA-5684267;R-HSA-5684248"
R-HSA-4655427,"SUMOylation of DNA methylation proteins",2,16,0.0014238675803150307,0.29496977208687203,0.37762136249992695,2,3,2.2672309552599758E-4,9606,Homo sapiens,"Q9Y6K1;P26358","Q9Y6K1;P26358","R-HSA-4655431;R-HSA-4655440"
R-HSA-2559584,"Formation of Senescence-Associated Heterochromatin Foci (SAHF)",2,16,0.0014238675803150307,0.29496977208687203,0.37762136249992695,1,2,1.5114873035066505E-4,9606,Homo sapiens,"P04637;P06400","P04637;P06400","R-HSA-4647594"
R-HSA-429958,"mRNA decay by 3' to 5' exoribonuclease",2,16,0.0014238675803150307,0.29496977208687203,0.37762136249992695,1,3,2.2672309552599758E-4,9606,Homo sapiens,"Q9NQT5;Q96B26","Q9NQT5;Q96B26","R-HSA-430028"
R-HSA-204174,"Regulation of pyruvate dehydrogenase (PDH) complex",2,16,0.0014238675803150307,0.29496977208687203,0.37762136249992695,1,4,3.022974607013301E-4,9606,Homo sapiens,"Q03181;P19793","Q03181;P19793","R-HSA-203946"
R-HSA-1489509,"DAG and IP3 signaling",4,41,0.003648660674557266,0.30277679523541834,0.37762136249992695,19,28,0.002116082224909311,9606,Homo sapiens,"P17612;P54750;P0DP23;Q01064","P17612;P54750;P0DP23;Q01064","R-HSA-9618834;R-HSA-442725;R-HSA-9619125;R-HSA-8951727;R-HSA-111913;R-HSA-111912;R-HSA-111915;R-HSA-111919;R-HSA-74448;R-HSA-111955;R-HSA-111925;R-HSA-111956;R-HSA-111924;R-HSA-111930;R-HSA-442749;R-HSA-9617583;R-HSA-9618863;R-HSA-444792;R-HSA-111966"
R-HSA-8853659,"RET signaling",4,41,0.003648660674557266,0.30277679523541834,0.37762136249992695,2,24,0.0018137847642079807,9606,Homo sapiens,"O00459;P17612;P27986;Q92569","O00459;P17612;P27986;Q92569","R-HSA-8854908;R-HSA-8854905"
R-HSA-8878166,"Transcriptional regulation by RUNX2",10,121,0.01076799857613242,0.307220510890458,0.37762136249992695,22,84,0.0063482466747279325,9606,Homo sapiens,"P56524;P24385;Q86YN6;P28482;P04150;P62877;P48556;P03372;P10275;P06400","P56524;P24385;Q86YN6;P28482;P04150;P62877;P48556;P03372;P10275;P06400","R-HSA-8939688;R-HSA-8985485;R-HSA-8985644;R-HSA-8877922;R-HSA-9008110;R-HSA-8939904;R-HSA-8877902;R-HSA-8939938;R-HSA-9008326;R-HSA-9009208;R-HSA-8939801;R-HSA-9008475;R-HSA-8939706;R-HSA-8985627;R-HSA-8939900;R-HSA-9009085;R-HSA-9008412;R-HSA-9008479;R-HSA-9008478;R-HSA-8877918;R-HSA-9009362;R-HSA-8985460"
R-HSA-9619483,"Activation of AMPK downstream of NMDARs",3,29,0.0025807599893209934,0.31355647419701593,0.37762136249992695,3,3,2.2672309552599758E-4,9606,Homo sapiens,"Q9Y478;P0DP23;Q13131","Q9Y478;P0DP23;Q13131","R-HSA-9619478;R-HSA-9619542;R-HSA-9619515"
R-HSA-3928663,"EPHA-mediated growth cone collapse",3,29,0.0025807599893209934,0.31355647419701593,0.37762136249992695,2,4,3.022974607013301E-4,9606,Homo sapiens,"O75116;P61586;Q13464","O75116;P61586;Q13464","R-HSA-3928651;R-HSA-3928616"
R-HSA-9619665,"EGR2 and SOX10-mediated initiation of Schwann cell myelination",3,29,0.0025807599893209934,0.31355647419701593,0.37762136249992695,4,26,0.0019649334945586456,9606,Homo sapiens,"Q92769;P46939;P04035","Q92769;P46939;P04035","R-HSA-9621410;R-HSA-9613648;R-HSA-9619668;R-HSA-9613644"
R-HSA-400253,"Circadian Clock",6,68,0.006051437216338881,0.31492039317812204,0.37762136249992695,6,59,0.004458887545344619,9606,Homo sapiens,"Q07869;P04150;P19793;Q16665;P05121;P50416","Q07869;P04150;P19793;Q16665;P05121;P50416","R-HSA-1368133;R-HSA-879724;R-HSA-1368065;R-HSA-1801587;R-HSA-549364;R-HSA-549493"
R-HSA-6803157,"Antimicrobial peptides",8,95,0.008454213758120496,0.3172151202191673,0.37762136249992695,11,58,0.004383313180169286,9606,Homo sapiens,"P04279;P06702;P05109;Q96PD5;P31151;P14555;P81605;P10909","P04279;P06702;P05109;Q96PD5;P31151;P14555;P81605;P10909","R-HSA-6803047;R-HSA-6802999;R-HSA-6803060;R-HSA-8862771;R-HSA-6810643;R-HSA-6798528;R-HSA-6803104;R-HSA-6799981;R-HSA-6798474;R-HSA-6798489;R-HSA-6799977"
R-HSA-9658195,"Leishmania infection",26,345,0.03070214470054285,0.3174270161906647,0.37762136249992695,39,95,0.00717956469165659,9606,Homo sapiens,"P34969;P12318;P13945;P28482;P29274;P29275;P01619;P21728;P07550;P01599;P21589;P80748;P08588;P43116;P05412;P25021;P29466;P0DP23;P30518;P21918;P17612;P19838;P43220;P09601;P05067;P01024","P34969;P12318;P13945;P28482;P29274;P29275;P01619;P21728;P07550;P01599;P21589;P80748;P08588;P43116;P05412;P25021;P29466;P0DP23;P30518;P21918;P17612;P19838;P43220;P09601;P05067;P01024","R-HSA-9664275;R-HSA-9660819;R-HSA-9664273;R-HSA-2029469;R-HSA-9664278;R-HSA-9664406;R-HSA-844612;R-HSA-9666458;R-HSA-9660824;R-HSA-9664285;R-HSA-9660829;R-HSA-844610;R-HSA-9660828;R-HSA-9666435;R-HSA-74448;R-HSA-9666433;R-HSA-9603905;R-HSA-9664261;R-HSA-9664271;R-HSA-9664270;R-HSA-9664397;R-HSA-9664268;R-HSA-448678;R-HSA-444647;R-HSA-8940074;R-HSA-9665524;R-HSA-8951727;R-HSA-9666426;R-HSA-9666425;R-HSA-9666430;R-HSA-111919;R-HSA-9673789;R-HSA-9666428;R-HSA-1250272;R-HSA-111925;R-HSA-111924;R-HSA-448702;R-HSA-448703;R-HSA-111930"
R-HSA-109606,"Intrinsic Pathway for Apoptosis",5,55,0.004894544807332918,0.317432205791379,0.37762136249992695,13,62,0.004685610640870617,9606,Homo sapiens,"O15350;P10415;P04637;P28482;P42574","O15350;P10415;P04637;P28482;P42574","R-HSA-4331331;R-HSA-9627089;R-HSA-114306;R-HSA-508163;R-HSA-139913;R-HSA-114252;R-HSA-6790025;R-HSA-4331340;R-HSA-114352;R-HSA-114419;R-HSA-9627104;R-HSA-140214;R-HSA-139897"
R-HSA-936837,"Ion transport by P-type ATPases",5,55,0.004894544807332918,0.317432205791379,0.37762136249992695,3,16,0.0012091898428053204,9606,Homo sapiens,"P54710;P0DP23;P13637;P05023;P50993","P54710;P0DP23;P13637;P05023;P50993","R-HSA-427910;R-HSA-9684068;R-HSA-936897"
R-HSA-9710421,"Defective pyroptosis",4,42,0.0037376523983269558,0.31787955706083815,0.37762136249992695,2,3,2.2672309552599758E-4,9606,Homo sapiens,"P49642;P49643;Q9Y6K1;P26358","P49642;P49643;Q9Y6K1;P26358","R-HSA-9710480;R-HSA-9710490"
R-HSA-9659787,"Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,2,2,1.5114873035066505E-4,9606,Homo sapiens,"P24385;P06400","P24385;P06400","R-HSA-9660615;R-HSA-9659782"
R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,1,1,7.557436517533252E-5,9606,Homo sapiens,"P24385;P06400","P24385;P06400","R-HSA-9659782"
R-HSA-9665348,"Signaling by ERBB2 ECD mutants",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,13,15,0.001133615477629988,9606,Homo sapiens,"P00533;P27986","P00533;P27986","R-HSA-9665407;R-HSA-9665406;R-HSA-9665404;R-HSA-9665411;R-HSA-9665410;R-HSA-9665409;R-HSA-9665408;R-HSA-9665415;R-HSA-9665413;R-HSA-9665417;R-HSA-9665416;R-HSA-9665389;R-HSA-9665388"
R-HSA-180292,"GAB1 signalosome",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,9,11,8.313180169286577E-4,9606,Homo sapiens,"P00533;P27986","P00533;P27986","R-HSA-177939;R-HSA-177923;R-HSA-177926;R-HSA-177927;R-HSA-177924;R-HSA-177941;R-HSA-177930;R-HSA-177944;R-HSA-177935"
R-HSA-432142,"Platelet sensitization by LDL",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,5,9,6.801692865779928E-4,9606,Homo sapiens,"P04114;P47712","P04114;P47712","R-HSA-432129;R-HSA-428961;R-HSA-435244;R-HSA-8948034;R-HSA-432121"
R-HSA-1482922,"Acyl chain remodelling of PI",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,3,6,4.5344619105199517E-4,9606,Homo sapiens,"P14555;P47712","P14555;P47712","R-HSA-1602377;R-HSA-1482868;R-HSA-1482825"
R-HSA-8876725,"Protein methylation",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,3,9,6.801692865779928E-4,9606,Homo sapiens,"P68104;P0DP23","P68104;P0DP23","R-HSA-8932413;R-HSA-6786205;R-HSA-8931974"
R-HSA-2142845,"Hyaluronan metabolism",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,3,11,8.313180169286577E-4,9606,Homo sapiens,"O15440;P19634","O15440;P19634","R-HSA-2160884;R-HSA-2142859;R-HSA-2160892"
R-HSA-450513,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,1,4,3.022974607013301E-4,9606,Homo sapiens,"Q9NQT5;Q96B26","Q9NQT5;Q96B26","R-HSA-450431"
R-HSA-450604,"KSRP (KHSRP) binds and destabilizes mRNA",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,1,5,3.7787182587666263E-4,9606,Homo sapiens,"Q9NQT5;Q96B26","Q9NQT5;Q96B26","R-HSA-450422"
R-HSA-450385,"Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA",2,17,0.0015128593040847202,0.3197408044265948,0.37762136249992695,1,6,4.5344619105199517E-4,9606,Homo sapiens,"Q9NQT5;Q96B26","Q9NQT5;Q96B26","R-HSA-450488"
R-HSA-9707564,"Cytoprotection by HMOX1",10,123,0.010945982023671799,0.3245821987673623,0.37762136249992695,23,32,0.0024183796856106408,9606,Homo sapiens,"P33527;Q07869;P68871;P02768;P62877;P48556;P19793;P09601;P69905;Q8TCT9","P33527;Q07869;P68871;P02768;P62877;P48556;P19793;P09601;P69905;Q8TCT9","R-HSA-9709360;R-HSA-9707504;R-HSA-9712274;R-HSA-8932334;R-HSA-400143;R-HSA-9707645;R-HSA-8932322;R-HSA-9709918;R-HSA-8932355;R-HSA-9661432;R-HSA-9708536;R-HSA-9661405;R-HSA-8932327;R-HSA-9709883;R-HSA-9708517;R-HSA-9709317;R-HSA-1250272;R-HSA-8932284;R-HSA-189398;R-HSA-8932351;R-HSA-9708525;R-HSA-9708558;R-HSA-9708457"
R-HSA-8878159,"Transcriptional regulation by RUNX3",8,96,0.008543205481890184,0.3271294754799654,0.37762136249992695,13,47,0.003551995163240629,9606,Homo sapiens,"P20701;P56524;P24385;Q00987;P04637;P48556;Q9UJU2;P01106","P20701;P56524;P24385;Q00987;P04637;P48556;Q9UJU2;P01106","R-HSA-4411367;R-HSA-8952128;R-HSA-8951428;R-HSA-8952069;R-HSA-8952408;R-HSA-8952058;R-HSA-8952382;R-HSA-8952062;R-HSA-8949343;R-HSA-8951442;R-HSA-8952371;R-HSA-8951443;R-HSA-4411357"
R-HSA-5357956,"TNFR1-induced NFkappaB signaling pathway",3,30,0.0026697517130906826,0.3319093091773888,0.37762136249992695,5,5,3.7787182587666263E-4,9606,Homo sapiens,"Q13546;O14920;P01375","Q13546;O14920;P01375","R-HSA-5357776;R-HSA-5357904;R-HSA-5357780;R-HSA-5357860;R-HSA-5357757"
R-HSA-8874081,"MET activates PTK2 signaling",3,30,0.0026697517130906826,0.3319093091773888,0.37762136249992695,5,5,3.7787182587666263E-4,9606,Homo sapiens,"P14210;P05556;P02751","P14210;P05556;P02751","R-HSA-8874083;R-HSA-8874082;R-HSA-8874080;R-HSA-8874079;R-HSA-8874078"
R-HSA-6804758,"Regulation of TP53 Activity through Acetylation",3,30,0.0026697517130906826,0.3319093091773888,0.37762136249992695,7,14,0.0010580411124546554,9606,Homo sapiens,"Q92769;Q13547;P04637","Q92769;Q13547;P04637","R-HSA-6811479;R-HSA-6805638;R-HSA-5628871;R-HSA-6811508;R-HSA-6805620;R-HSA-6805650;R-HSA-3222093"
R-HSA-114452,"Activation of BH3-only proteins",3,30,0.0026697517130906826,0.3319093091773888,0.37762136249992695,5,19,0.001435912938331318,9606,Homo sapiens,"O15350;P10415;P04637","O15350;P10415;P04637","R-HSA-4331331;R-HSA-140214;R-HSA-139897;R-HSA-139913;R-HSA-4331340"
R-HSA-8931987,"RUNX1 regulates estrogen receptor mediated transcription",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,8,8,6.045949214026602E-4,9606,Homo sapiens,"P03372","P03372","R-HSA-8932076;R-HSA-8931981;R-HSA-8932033;R-HSA-8932084;R-HSA-8932020;R-HSA-8932037;R-HSA-8932021;R-HSA-8932070"
R-HSA-6806942,"MET Receptor Activation",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,5,5,3.7787182587666263E-4,9606,Homo sapiens,"P14210","P14210","R-HSA-6806974;R-HSA-6806957;R-HSA-6800299;R-HSA-6800298;R-HSA-6800200"
R-HSA-9013957,"TLR3-mediated TICAM1-dependent programmed cell death",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,3,3,2.2672309552599758E-4,9606,Homo sapiens,"Q13546","Q13546","R-HSA-9013963;R-HSA-9013889;R-HSA-9013895"
R-HSA-5626978,"TNFR1-mediated ceramide production",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,3,3,2.2672309552599758E-4,9606,Homo sapiens,"P01375","P01375","R-HSA-5626981;R-HSA-5626982;R-HSA-5626988"
R-HSA-5674499,"Negative feedback regulation of MAPK pathway",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,3,3,2.2672309552599758E-4,9606,Homo sapiens,"P28482","P28482","R-HSA-5674496;R-HSA-5675198;R-HSA-5675194"
R-HSA-8849470,"PTK6 Regulates Cell Cycle",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,2,2,1.5114873035066505E-4,9606,Homo sapiens,"P24385","P24385","R-HSA-8848436;R-HSA-8848414"
R-HSA-2644607,"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,1,7.557436517533252E-5,9606,Homo sapiens,"P62877","P62877","R-HSA-2220978"
R-HSA-2644605,"FBXW7 Mutants and NOTCH1 in Cancer",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,1,7.557436517533252E-5,9606,Homo sapiens,"P62877","P62877","R-HSA-2220978"
R-HSA-193993,"Mineralocorticoid biosynthesis",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,3,6,4.5344619105199517E-4,9606,Homo sapiens,"P19099","P19099","R-HSA-194017;R-HSA-193995;R-HSA-193965"
R-HSA-8939256,"RUNX1 regulates transcription of genes involved in WNT signaling",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,2,4,3.022974607013301E-4,9606,Homo sapiens,"P03372","P03372","R-HSA-8932076;R-HSA-8932084"
R-HSA-111459,"Activation of caspases through apoptosome-mediated cleavage",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,2,1.5114873035066505E-4,9606,Homo sapiens,"P42574","P42574","R-HSA-114252"
R-HSA-9603381,"Activated NTRK3 signals through PI3K",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,2,5,3.7787182587666263E-4,9606,Homo sapiens,"P27986","P27986","R-HSA-9603445;R-HSA-9603407"
R-HSA-205025,"NADE modulates death signalling",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,3,2.2672309552599758E-4,9606,Homo sapiens,"P42574","P42574","R-HSA-205117"
R-HSA-193144,"Estrogen biosynthesis",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,2,7,5.290205562273277E-4,9606,Homo sapiens,"P11511","P11511","R-HSA-193143;R-HSA-193060"
R-HSA-389599,"Alpha-oxidation of phytanate",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,2,7,5.290205562273277E-4,9606,Homo sapiens,"O14975","O14975","R-HSA-389622;R-HSA-389632"
R-HSA-9683686,"Maturation of spike protein",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,2,8,6.045949214026602E-4,9606,Homo sapiens,"Q14697","Q14697","R-HSA-9686790;R-HSA-9683663"
R-HSA-8941284,"RUNX2 regulates chondrocyte maturation",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,4,3.022974607013301E-4,9606,Homo sapiens,"P56524","P56524","R-HSA-9008326"
R-HSA-5660668,"CLEC7A/inflammasome pathway",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,4,3.022974607013301E-4,9606,Homo sapiens,"P19838","P19838","R-HSA-5660622"
R-HSA-8949275,"RUNX3 Regulates Immune Response and Cell Migration",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,5,3.7787182587666263E-4,9606,Homo sapiens,"P20701","P20701","R-HSA-8949343"
R-HSA-77346,"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,5,3.7787182587666263E-4,9606,Homo sapiens,"P11310","P11310","R-HSA-77345"
R-HSA-77288,"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,6,4.5344619105199517E-4,9606,Homo sapiens,"P11310","P11310","R-HSA-109341"
R-HSA-8964208,"Phenylalanine metabolism",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,6,4.5344619105199517E-4,9606,Homo sapiens,"P00439","P00439","R-HSA-71118"
R-HSA-9022707,"MECP2 regulates transcription factors",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,8,6.045949214026602E-4,9606,Homo sapiens,"P37231","P37231","R-HSA-9017441"
R-HSA-1482798,"Acyl chain remodeling of CL",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,9,6.801692865779928E-4,9606,Homo sapiens,"P47712","P47712","R-HSA-1482759"
R-HSA-9682706,"Replication of the SARS-CoV-1 genome",1,6,5.339503426181365E-4,0.3339860955074545,0.37762136249992695,1,20,0.0015114873035066505,9606,Homo sapiens,"P06400","P06400","R-HSA-9682712"
R-HSA-1963642,"PI3K events in ERBB2 signaling",2,18,0.0016018510278544096,0.3442951265612816,0.37762136249992695,7,7,5.290205562273277E-4,9606,Homo sapiens,"P00533;P27986","P00533;P27986","R-HSA-1306979;R-HSA-1306963;R-HSA-1306965;R-HSA-1250346;R-HSA-1250462;R-HSA-1306957;R-HSA-1250189"
R-HSA-6785631,"ERBB2 Regulates Cell Motility",2,18,0.0016018510278544096,0.3442951265612816,0.37762136249992695,2,2,1.5114873035066505E-4,9606,Homo sapiens,"P00533;P61586","P00533;P61586","R-HSA-6785636;R-HSA-6785648"
R-HSA-163615,"PKA activation",2,18,0.0016018510278544096,0.3442951265612816,0.37762136249992695,3,4,3.022974607013301E-4,9606,Homo sapiens,"P17612;P0DP23","P17612;P0DP23","R-HSA-111925;R-HSA-8951727;R-HSA-111930"
R-HSA-6804114,"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",2,18,0.0016018510278544096,0.3442951265612816,0.37762136249992695,7,11,8.313180169286577E-4,9606,Homo sapiens,"P04637;P12004","P04637;P12004","R-HSA-3215152;R-HSA-6791109;R-HSA-6803858;R-HSA-6803871;R-HSA-3215144;R-HSA-6798268;R-HSA-6798282"
R-HSA-1482925,"Acyl chain remodelling of PG",2,18,0.0016018510278544096,0.3442951265612816,0.37762136249992695,3,10,7.557436517533253E-4,9606,Homo sapiens,"P14555;P47712","P14555;P47712","R-HSA-1482900;R-HSA-1602368;R-HSA-1482907"
R-HSA-5633008,"TP53 Regulates Transcription of Cell Death Genes",4,44,0.003915635845866334,0.3482331427291161,0.37762136249992695,52,67,0.005063482466747279,9606,Homo sapiens,"O15350;O15392;P29466;P04637","O15350;O15392;P29466;P04637","R-HSA-6799462;R-HSA-4331331;R-HSA-139913;R-HSA-4331340;R-HSA-6791285;R-HSA-6800253;R-HSA-6791291;R-HSA-6800250;R-HSA-6799815;R-HSA-6797766;R-HSA-6800836;R-HSA-6797763;R-HSA-6801089;R-HSA-6801355;R-HSA-140214;R-HSA-6799441;R-HSA-3700984;R-HSA-6801184;R-HSA-6798126;R-HSA-6800044;R-HSA-3700981;R-HSA-6800042;R-HSA-6797993;R-HSA-6791349;R-HSA-6791348;R-HSA-6798004;R-HSA-5633414;R-HSA-6798129;R-HSA-6800816;R-HSA-6801087;R-HSA-5633295;R-HSA-6801213;R-HSA-6798139;R-HSA-6798138;R-HSA-6799418;R-HSA-6801209;R-HSA-6799416;R-HSA-6801415;R-HSA-6791302;R-HSA-6798082;R-HSA-6798081;R-HSA-6800001;R-HSA-6801166;R-HSA-6800396;R-HSA-6791306;R-HSA-6798615;R-HSA-6800279;R-HSA-6798611;R-HSA-5633441;R-HSA-5633314;R-HSA-6791327;R-HSA-6791323"
R-HSA-186763,"Downstream signal transduction",3,31,0.002758743436860372,0.3502445869622146,0.37762136249992695,16,16,0.0012091898428053204,9606,Homo sapiens,"O00459;P09619;P27986","O00459;P09619;P27986","R-HSA-382052;R-HSA-186819;R-HSA-1524182;R-HSA-382055;R-HSA-186826;R-HSA-380780;R-HSA-380782;R-HSA-186798;R-HSA-382056;R-HSA-1524186;R-HSA-382058;R-HSA-186765;R-HSA-186834;R-HSA-186800;R-HSA-186778;R-HSA-186780"
R-HSA-450282,"MAPK targets/ Nuclear events mediated by MAP kinases",3,31,0.002758743436860372,0.3502445869622146,0.37762136249992695,11,16,0.0012091898428053204,9606,Homo sapiens,"P05412;P28482;P51812","P05412;P28482;P51812","R-HSA-450292;R-HSA-450325;R-HSA-199895;R-HSA-199959;R-HSA-203797;R-HSA-168053;R-HSA-198756;R-HSA-198731;R-HSA-198746;R-HSA-168440;R-HSA-168136"
R-HSA-448424,"Interleukin-17 signaling",6,71,0.006318412387647949,0.35033930925142065,0.37762136249992695,21,35,0.0026451027811366383,9606,Homo sapiens,"P05412;P19838;P28482;P51812;O14920;Q96F46","P05412;P19838;P28482;P51812;O14920;Q96F46","R-HSA-5684275;R-HSA-5678544;R-HSA-198756;R-HSA-5684273;R-HSA-198731;R-HSA-447246;R-HSA-168136;R-HSA-5684250;R-HSA-5684248;R-HSA-450292;R-HSA-450325;R-HSA-5684261;R-HSA-199895;R-HSA-199959;R-HSA-451634;R-HSA-447219;R-HSA-203797;R-HSA-168053;R-HSA-198746;R-HSA-168440;R-HSA-5684267"
R-HSA-975871,"MyD88 cascade initiated on plasma membrane",7,85,0.007564296520423601,0.3544910367584928,0.37762136249992695,24,58,0.004383313180169286,9606,Homo sapiens,"P05412;P19838;P28482;P51812;O14920;P05067;P25963","P05412;P19838;P28482;P51812;O14920;P05067;P25963","R-HSA-937032;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-168140;R-HSA-5684248;R-HSA-450325;R-HSA-199895;R-HSA-199959;R-HSA-5609665;R-HSA-203797;R-HSA-198746;R-HSA-9630923;R-HSA-168166;R-HSA-5684275;R-HSA-198756;R-HSA-5684273;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-168053;R-HSA-168184;R-HSA-168440;R-HSA-5684267"
R-HSA-168176,"Toll Like Receptor 5 (TLR5) Cascade",7,85,0.007564296520423601,0.3544910367584928,0.37762136249992695,24,59,0.004458887545344619,9606,Homo sapiens,"P05412;P19838;P28482;P51812;O14920;P05067;P25963","P05412;P19838;P28482;P51812;O14920;P05067;P25963","R-HSA-937032;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-168140;R-HSA-5684248;R-HSA-450325;R-HSA-199895;R-HSA-199959;R-HSA-5609665;R-HSA-203797;R-HSA-198746;R-HSA-9630923;R-HSA-168166;R-HSA-5684275;R-HSA-198756;R-HSA-5684273;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-168053;R-HSA-168184;R-HSA-168440;R-HSA-5684267"
R-HSA-168142,"Toll Like Receptor 10 (TLR10) Cascade",7,85,0.007564296520423601,0.3544910367584928,0.37762136249992695,24,59,0.004458887545344619,9606,Homo sapiens,"P05412;P19838;P28482;P51812;O14920;P05067;P25963","P05412;P19838;P28482;P51812;O14920;P05067;P25963","R-HSA-937032;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-168140;R-HSA-5684248;R-HSA-450325;R-HSA-199895;R-HSA-199959;R-HSA-5609665;R-HSA-203797;R-HSA-198746;R-HSA-9630923;R-HSA-168166;R-HSA-5684275;R-HSA-198756;R-HSA-5684273;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-168053;R-HSA-168184;R-HSA-168440;R-HSA-5684267"
